Taille PV (MW),Nombre de navires,Bilan Net (k€)
1,0,-1153.02835177
2,0,-1219.94050335
3,0,-1278.54302953
4,0,-1303.0275919399999
5,0,-1341.9874344000002
6,0,-1382.61504901
7,0,-1430.22177572
8,0,-1485.30484236
9,0,-1545.8063387099999
10,0,-1604.1795401699999
1,1,-630.2640432246974
2,1,-697.9047333546973
3,1,-757.182437454697
4,1,-786.2458995346971
5,1,-826.3344261046973
6,1,-869.2499737546972
7,1,-916.4585520046971
8,1,-973.1149121146974
9,1,-1034.973748554697
10,1,-1094.4059980146974
1,2,-128.1033718818305
2,2,-195.9975234518305
3,2,-255.99090956183082
4,2,-287.6135468718307
5,2,-328.5641918718305
6,2,-372.4876509318305
7,2,-422.0709661018306
8,2,-480.7210882418307
9,2,-542.8644436418305
10,2,-602.4723417518306
1,3,223.0562246936548
2,3,154.91966501365508
3,3,94.00009675365477
4,3,61.74264039365505
5,3,20.039728723655223
6,3,-25.515886086345184
7,3,-76.16169099634513
8,3,-134.80136923634518
9,3,-196.99647437634482
10,3,-256.6187274963453
1,4,570.342405456505
2,4,501.43179906650494
3,4,439.46757571650505
4,4,404.4734055565051
5,4,358.09336584650515
6,4,310.6543912265049
7,4,258.795662336505
8,4,200.03162196650496
9,4,137.96992380650528
10,4,77.76106352650514
1,5,926.0557697556852
2,5,857.0864149356852
3,5,794.7062931956854
4,5,758.1845466356855
5,5,711.1868269756856
6,5,664.7754557856857
7,5,612.3109589456856
8,5,553.475108345685
9,5,491.38196614568494
10,5,430.4560204956857
1,6,1207.154241154359
2,6,1137.557811814359
3,6,1074.1160598543588
4,6,1032.3547506443588
5,6,984.800579614359
6,6,935.6795533943591
7,6,883.6444579343591
8,6,825.3981361843589
9,6,763.8686616543592
10,6,702.554968744359
1,7,1462.4781655620354
2,7,1392.7512658920352
3,7,1328.5430339420354
4,7,1285.6934165620357
5,7,1235.1334816620354
6,7,1183.692433362035
7,7,1130.3848797620353
8,7,1071.8403430620353
9,7,1008.8437071520356
10,7,944.3232649620352
1,8,1598.015517651219
2,8,1528.016992331219
3,8,1463.5205967712188
4,8,1418.843562781219
5,8,1367.3386291812187
6,8,1316.0326146112186
7,8,1261.1725875912193
8,8,1203.0349655212192
9,8,1139.8787698912192
10,8,1075.5466980312192
1,9,1728.7016967394538
2,9,1658.5747793594537
3,9,1593.722064249454
4,9,1547.4762845794535
5,9,1494.709270139454
6,9,1443.3146462494535
7,9,1387.5579904494537
8,9,1328.7607880094536
9,9,1265.6339631494536
10,9,1201.5557644794537
1,10,1859.949247387826
2,10,1789.6926533678263
3,10,1724.2894721078262
4,10,1675.4116038578259
5,10,1623.1455326478258
6,10,1570.4024847578262
7,10,1513.1079316078258
8,10,1454.529445887826
9,10,1391.1404436878258
10,10,1328.0243979278257
1,11,1991.6459406830231
2,11,1921.3893466630234
3,11,1855.9861654030233
4,11,1807.1082971530236
5,11,1754.8422259530234
6,11,1702.0692005330236
7,11,1644.7640004630227
8,11,1586.1593531130231
9,11,1522.7122367730233
10,11,1459.6402304330236
1,12,2089.3138261059494
2,12,2018.7692862059494
3,12,1953.1127252159497
4,12,1902.1717875059494
5,12,1848.8874518959494
6,12,1795.5577599659498
7,12,1738.4027839459497
8,12,1680.5453537659496
9,12,1617.1305152459495
10,12,1554.0938023759495
1,13,2187.349217492202
2,13,2116.474939302203
3,13,2050.8248445522026
4,13,1998.1087460322026
5,13,1943.9775579222025
6,13,1890.1330098622032
7,13,1835.8071839222023
8,13,1776.748245282203
9,13,1714.3066964622028
10,13,1653.1670808022022
1,14,2283.2707851345767
2,14,2212.2824714345766
3,14,2146.3882305145767
4,14,2092.928560294577
5,14,2037.7507382345768
6,14,1984.1870704345763
7,14,1930.0810131745761
8,14,1870.7917519845766
9,14,1807.8716245845767
10,14,1746.9211264445762
1,15,2376.184187631538
2,15,2305.1958739315382
3,15,2239.275234891538
4,15,2185.711980611538
5,15,2130.5010613815384
6,15,2075.7297671215383
7,15,2021.4682829415378
8,15,1962.1365570115381
9,15,1899.9063278215383
10,15,1838.9232509415378
1,16,2456.1418658998373
2,16,2384.9985367498375
3,16,2318.8833353598375
4,16,2264.3302352498376
5,16,2208.3619888198377
6,16,2152.1964634698375
7,16,2097.6934933698376
8,16,2038.0420414198372
9,16,1975.2921984198372
10,16,1913.4237663998372
1,17,2527.7826483584568
2,17,2456.639319208457
3,17,2390.519090518457
4,17,2335.965990408457
5,17,2279.978663728457
6,17,2223.810500468457
7,17,2169.309078388457
8,17,2109.640048168457
9,17,2046.892091928457
10,17,1984.8727356984568
1,18,2603.4116846794404
2,18,2532.26714275944
3,18,2465.8835271894404
4,18,2411.36369392944
5,18,2354.77521440944
6,18,2298.0496479494404
7,18,2243.5512454794402
8,18,2183.7804754994404
9,18,2120.53399854944
10,18,2059.171884519441
1,19,2677.380223000578
2,19,2606.2356810805777
3,19,2539.8520655105785
4,19,2485.3322322505783
5,19,2428.7437527305783
6,19,2372.0051898305783
7,19,2317.5073262005785
8,19,2257.737095060578
9,19,2194.471063450578
10,19,2133.0747643105788
1,20,2748.6404803436626
2,20,2677.408479283663
3,20,2610.748750413663
4,20,2556.2825479936632
5,20,2498.8165076136625
6,20,2441.9955110136625
7,20,2387.4433586636624
8,20,2327.086337373663
9,20,2263.7159031136625
10,20,2202.164920773663
1,21,2815.6102921123343
2,21,2744.3782910623345
3,21,2677.6622419023347
4,21,2623.1748826723347
5,21,2565.6003187323345
6,21,2508.7274268423344
7,21,2452.5364538723343
8,21,2392.1638936623344
9,21,2328.792925972334
10,21,2267.1421089523346
1,22,2881.8382597574487
2,22,2810.6062586974485
3,22,2743.890209547449
4,22,2689.402850317449
5,22,2631.8282863774484
6,22,2574.9553944874483
7,22,2518.7644215174487
8,22,2458.391861307449
9,22,2395.0208936174486
10,22,2333.3507152774487
1,23,2942.270355016881
2,23,2870.8401662368806
3,23,2802.9153678568805
4,23,2748.1189217868805
5,23,2690.2824138568812
6,23,2633.30485148688
7,23,2576.1995006368807
8,23,2515.9212734868806
9,23,2452.0164353968808
10,23,2390.274025586881
1,24,3004.266255023755
2,24,2932.8360662437553
3,24,2864.910147473755
4,24,2810.0924559837554
5,24,2752.171817163756
6,24,2695.201772613755
7,24,2638.107820033755
8,24,2577.433327183755
9,24,2513.4460418837557
10,24,2451.7296998537545
1,25,3067.390420557172
2,25,2995.960231777172
3,25,2928.034313007172
4,25,2873.198436907172
5,25,2815.278614847172
6,25,2758.276117687172
7,25,2701.1839684371716
8,25,2640.511278897172
9,25,2576.5257968871715
10,25,2514.797635147172
1,26,3125.5942716838945
2,26,3054.1640829038943
3,26,2986.2354507638943
4,26,2931.3705124738945
5,26,2873.085185953895
6,26,2816.094959563894
7,26,2758.383822713895
8,26,2697.423529843895
9,26,2633.3554679438944
10,26,2570.9808544938946
1,27,3181.7242523434998
2,27,3110.278342453499
3,27,3042.0072507434993
4,27,2986.5297616334997
5,27,2927.927974743499
6,27,2870.9827272634993
7,27,2811.2536437234994
8,27,2751.1122267434994
9,27,2687.360851813499
10,27,2625.6591988234995
1,28,3224.224309779928
2,28,3152.668823419928
3,28,3084.362421719927
4,28,3028.5572916399274
5,28,2969.1146335699277
6,28,2911.4403165399276
7,28,2851.7444630899276
8,28,2791.4755769299277
9,28,2727.6529607299276
10,28,2666.2567087899274
1,29,3268.1253255223496
2,29,3196.5698391623496
3,29,3128.25058182235
4,29,3072.3406359723494
5,29,3012.9905763223496
