PV_MW,Bat_MWh,CAPEX,OPEX,Total_Cost,RE_Coverage,PV_Share,E_imp,E_exp,E_pv,E_demand,Scenario,tau
0.0,0.0,0.0,2203346.6402033684,2203346.6402033684,-7.504363743770104,0.0,33231.08223533101,0.0,0.0,30911.379852947368,S0 τ=40,40
0.0,0.0,0.0,2203346.6402033684,2203346.6402033684,-7.504363743770104,0.0,33231.08223533101,0.0,0.0,30911.379852947368,S1 τ=40,40
2.0,0.0,101589.42563244897,2090917.2414257617,2192506.667058211,-2.103604519817788,5.023758139552999,31561.633036672014,0.0,1669.4491986589924,30911.379852947368,S1 τ=40,40
4.0,0.0,203178.85126489794,1995258.4262190054,2198437.2774839033,2.4552889111080525,9.264417097166723,30152.416171147463,0.0,3078.6660641835388,30911.379852947368,S1 τ=40,40
6.0,0.0,304768.2768973469,1916516.024210784,2221284.3011081307,6.234323661636595,12.779655566495887,28984.264384636703,0.0,4246.817850694305,30911.379852947368,S1 τ=40,40
8.0,0.0,406357.7025297959,1846891.0264988819,2253248.7290286776,9.60256467800554,15.912775840940679,27943.094609704123,0.0,5287.987625626883,30911.379852947368,S1 τ=40,40
10.0,0.0,507947.12816224486,1783002.0751915264,2290949.2033537715,12.715660282804334,18.80856118061178,26980.79380211936,0.0,6250.288433211645,30911.379852947368,S1 τ=40,40
12.0,0.0,609536.5537946938,1722926.7400677558,2332463.2938624495,15.652170451679966,21.54008766624786,26073.077989397785,0.0,7158.004245933218,30911.379852947368,S1 τ=40,40
14.0,0.0,711125.9794271428,1665625.5691255233,2376751.548552666,18.458404642112427,24.150432114330865,25205.632279229925,0.0,8025.449956101076,30911.379852947368,S1 τ=40,40
16.0,0.0,812715.4050595918,1611140.3440921274,2423855.7491517193,21.135894417109853,26.64101917680497,24377.983244356645,0.0,8853.098990974364,30911.379852947368,S1 τ=40,40
18.0,0.0,914304.8306920407,1559298.5003959981,2473603.331088039,23.685293918574622,29.012457333065388,23589.928680489724,0.0,9641.153554841281,30911.379852947368,S1 τ=40,40
20.0,0.0,1015894.2563244897,1509969.4288973627,2525863.6852218523,26.11785515632667,31.275213144122425,22837.99043613263,0.0,10393.091799198375,30911.379852947368,S1 τ=40,40
22.0,0.0,1117483.6819569387,1462997.4294831115,2580481.1114400504,28.436628659347296,33.432124196167976,22121.22555068443,0.0,11109.856684646576,30911.379852947368,S1 τ=40,40
24.0,0.0,1219073.1075893876,1418396.9964948592,2637470.104084247,30.63738277129306,35.47925422448117,21440.942087511517,0.0,11790.140147819486,30911.379852947368,S1 τ=40,40
26.0,0.0,1320662.5332218367,1376301.6800385723,2696964.213260409,32.712997410018836,37.40998016568377,20799.340962251612,0.0,12431.741273079393,30911.379852947368,S1 τ=40,40
28.0,0.0,1422251.9588542855,1336902.786637441,2759154.7454917263,34.650179124423424,39.21193652070369,20200.53136407017,0.0,13030.550871260835,30911.379852947368,S1 τ=40,40
30.0,0.0,1523841.3844867346,1299580.6038286714,2823421.9883154063,36.483210963738664,40.91701320362248,19633.91592939397,0.0,13597.166305937033,30911.379852947368,S1 τ=40,40
