τ (€/MWh),Point,PV (MW),Battery (MWh),RE Coverage (%),PV Share (%),Total Cost (M€/yr),ΔC vs S0 (M€/yr)
40,S0,0,0,-7.5,0.0,2.203,0.0
40,P1,0,0,-7.5,0.0,2.203,0.0
40,P2,0,0,-7.5,0.0,2.203,0.0
40,P3,44,0,46.7,50.4,3.325,1.122
40,P4,55,6,56.4,60.0,4.616,2.412
60,S0,0,0,-7.5,0.0,2.868,0.0
60,P1,11,0,14.2,20.2,2.842,-0.026
60,P2,11,0,14.2,20.2,2.842,-0.026
60,P3,55,0,52.0,55.4,4.071,1.203
60,P4,55,6,56.4,60.0,4.885,2.017
80,S0,0,0,-7.5,0.0,3.533,0.0
80,P1,11,0,14.2,20.2,3.372,-0.16
80,P2,22,0,28.4,33.4,3.465,-0.067
80,P3,55,0,52.0,55.4,4.367,0.835
80,P4,55,6,56.5,60.0,5.154,1.622
100,S0,0,0,-7.5,0.0,4.197,0.0
100,P1,11,0,14.2,20.2,3.903,-0.295
100,P2,44,0,46.7,50.4,4.315,0.118
100,P3,55,0,52.0,55.4,4.664,0.467
100,P4,55,6,56.5,60.0,5.424,1.226
120,S0,0,0,-7.5,0.0,4.862,0.0
120,P1,22,0,28.4,33.4,4.35,-0.512
120,P2,55,0,52.0,55.4,4.96,0.099
120,P3,55,0,52.0,55.4,4.96,0.099
120,P4,55,6,56.5,60.0,5.693,0.831
